FIPS,ARIMA
51540,
51550,
51570,
51580,
51590,
51595,
51600,
51610,
51620,
51630,
51640,
51650,
51660,
51670,
51678,
51680,
51683,
51685,
51690,
51700,
51710,2023-01-09
51720,
51730,
51735,
51740,2021-12-07
51750,
51760,
51770,
51775,
51790,
51800,
51810,
51820,
51830,
51840,
53001,2023-09-13
53003,
53005,2023-05-15
53007,2022-09-18
53009,2022-12-05
53011,2023-05-14
53013,2024-08-30
53015,2023-12-13
53017,2024-03-03
53019,2023-11-24
53021,2023-08-19
53023,
53025,2023-06-03
53027,2023-09-19
53029,2022-10-02
53031,2022-08-22
53033,2022-03-01
53035,2023-01-25
53037,2024-03-17
53039,
53041,2024-05-23
53043,2024-04-28
53045,2023-10-16
53047,2023-03-06
53049,2023-10-29
53051,
53053,2023-01-05
53055,2022-04-30
53057,2022-09-19
53059,
53061,2022-09-24
53063,2023-04-12
53065,
53067,2023-01-29
53069,
53071,
53073,2022-11-21
53075,2022-11-06
53077,2023-02-01
54001,
54003,
54005,
54007,
54009,
54011,
54013,
54015,
54017,
54019,
54021,
54023,
54025,
54027,
54029,
54031,
54033,
54035,
54037,
54039,
54041,
54043,
54045,
54047,
54049,
54051,
54053,
54055,2022-04-10
54057,2022-03-08
54059,2022-10-10
54061,
54063,
54065,
54067,
54069,
54071,2022-07-13
54073,
54075,
54077,
54079,
54081,
54083,
54085,
54087,
54089,
54091,
54093,2022-10-17
54095,
54097,
54099,
54101,
54103,
54105,
54107,
54109,2022-03-19
55001,2023-07-21
55003,2022-07-26
55005,2023-01-07
55007,2022-01-04
55009,2022-08-11
55011,2023-06-04
55013,2023-05-07
55015,2023-01-28
55017,2023-03-05
55019,
55021,2022-03-05
55023,2022-10-22
55025,2021-12-21
55027,2023-11-22
55029,2022-03-02
55031,2023-09-27
55033,2022-11-14
55035,2022-08-12
55037,
55039,2023-09-01
55041,2023-12-25
55043,2023-03-17
55045,2022-05-31
55047,2023-05-27
55049,2022-04-21
55051,2022-08-19
55053,2024-02-13
55055,2022-07-19
55057,2023-07-21
55059,2022-11-20
55061,2023-08-18
55063,2022-04-29
55065,2023-03-16
55067,2023-10-27
55069,2023-03-20
55071,2022-11-22
55073,2022-06-25
55075,2023-10-17
55077,2023-07-09
55078,2021-12-27
55079,2022-05-12
55081,2023-01-04
55083,2023-07-15
55085,2022-12-25
55087,2022-08-30
55089,2022-03-01
55091,
55093,
55095,2023-07-11
55097,2022-08-19
55099,2022-11-06
55101,2022-11-05
55103,2022-05-03
55105,2022-06-04
55107,
55109,2023-02-27
55111,2022-09-13
55113,2022-12-12
55115,2022-12-08
55117,2022-08-15
55119,
55121,2022-06-06
55123,2022-10-07
55125,2023-02-22
55127,2024-01-27
55129,2023-01-12
55131,2022-12-16
55133,2022-04-30
55135,2023-01-31
55137,2024-08-11
55139,2022-12-25
55141,2022-08-23
56001,2023-01-23
56003,
56005,
56007,2023-07-15
56009,
56011,
56013,2022-08-09
56015,2023-08-22
56017,
56019,
56021,2023-07-20
56023,2023-08-02
56025,2024-05-15
56027,2024-08-12
56029,2024-03-13
56031,
56033,2023-07-15
56035,2023-06-21
56037,2023-05-25
56039,2021-12-07
56041,2023-08-27
56043,2023-08-21
56045,2024-03-03
